"Group","n","mean","sd","df","χ2","p.value"
"2014",5,0.45,0.17," "," "," "
"2015",5,0.35,0.15," "," "," "
"2016",5,0.42,0.08,"5","3.41032258064517","0.636998250780783"
"2019",5,0.46,0.11," "," "," "
"2020",5,0.44,0.11," "," "," "
"2021",5,0.48,0.2," "," "," "
"May",6,0.58,0.04," "," "," "
"June",6,0.44,0.07," "," "," "
"July",6,0.38,0.07,"4","14.6709677419355","0.0054346383392222"
"August",6,0.37,0.12," "," "," "
"September",6,0.43,0.05," "," "," "
