"TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","Temp_C_epi","Temp_C_hypo","DO_mgL_epi","waterlevel","therm_depth","oxy_depth","SS","Green_ugL","Bluegreen_ugL","Brown_ugL","Mixed_ugL","Total_ugL","secchi","AirTemp","Shortwave","Longwave","RelHum","WindSpeed","Rain","DateTime"
231.77,182.55,13.4783333333333,12.2,14.1965557174409,9.33677472812573,10.4382653522786,13.497,3.62520513243991,7.86495359067481,18.3003458864663,3.54085262651474,0.112397486762107,3.60617309843204,0.136613381582426,7.39676947568763,NA,18.8004264583333,204.273833333333,337.095416666667,68.7970791666667,6.15182258333333,0.0001293,2014-04-04
231.77,182.55,13.4783333333333,12.2,14.1965557174409,9.33677472812573,10.4382653522786,13.4736363636364,3.62520513243991,7.86495359067481,18.3003458864663,3.54085262651474,0.112397486762107,3.60617309843204,0.136613381582426,7.39676947568763,NA,5.84667484583333,293.053083333333,247.051666666667,69.66253625,4.10886729166667,0,2014-04-17
231.77,182.55,13.4783333333333,12.2,14.1965557174409,9.33677472812573,10.4382653522786,13.46,3.62520513243991,7.86495359067481,18.3003458864663,3.54085262651474,0.112397486762107,3.60617309843204,0.136613381582426,7.39676947568763,NA,18.9400091666667,196.526375,372.661666666667,92.1967925,5.56817966666667,0.0012848,2014-04-30
204,202,7.9,9.6,20.6318493150685,9.64978554216868,9.63023753424658,13.31,3.40106979048091,4.73470543804259,89.4912494136149,1.31785714285714,0.0375,6.415,0.931785714285714,8.70285714285714,3.5,23.9433420833333,270.104,380.370416666667,74.9293191666667,4.48212604166667,0.0003717,2014-05-14
269,195.5,16.3,6.2,21.8667211864407,8.8797329153605,9.02760186440678,13.1533333333333,4.10275005784395,4.4857454785233,113.026499510543,1.39777777777778,0.0166666666666667,1.86111111111111,0.0766666666666667,3.35333333333333,3.5,20.051255,209.5933375,378.09,88.92143,2.55075279166667,0.003667,2014-05-29
343.666666666667,171,13.3333333333333,4.8,23.5224556818182,10.3140237547893,7.69780329545455,12.99,3.34401674654745,4.51590573219922,100.54671172276,1.39777777777778,0.0166666666666667,1.86111111111111,0.0766666666666667,3.35333333333333,4.4,24.82208875,267.851125,395.1875,70.084655,4.497983,0.01692,2014-06-04
715.25,143.65,23,8.05,25.9660228346457,10.1449880769231,7.1836542519685,12.85,3.84331756042161,2.7082383299914,132.353474828106,1.83947368421053,0.175263157894737,0.722105263157895,0.161578947368421,2.90052631578947,4.2,28.1750133333333,304.71275,395.807083333333,60.0357945833333,4.73139191666667,0,2014-06-18
237,231,18.4,13.6,26.3567556701031,10.9001909090909,7.50592103092784,12.67,3.47189947297301,2.68366325345437,131.549027452788,5.06444444444444,0.0933333333333333,1.30111111111111,0.253333333333333,6.71,4.7,23.26375375,205.115875,388.557916666667,79.44887,3.695405625,0.000919,2014-06-25
821,266,41.1666666666667,13.7,26.9243819148936,11.0900281021898,7.67860542553191,12.51,3.28513429261083,2.42963578606113,137.107178947709,6.676,0.038,0.974,0.085,7.774,3,30.0883329166667,310.579333333333,421.824166666667,57.2014916666667,3.160603625,0.0005386,2014-07-02
1069.5,228,45.3,13,25.3966626262626,9.53923778801843,6.80583343434343,12.38,3.60778873152896,2.2727886711194,129.290842059518,9.38384615384615,0.102307692307692,2.4,0.101538461538462,11.9876923076923,2.5,25.3112533333333,240.942833333333,389.14375,65.3666808333333,3.73581670833333,0.0080288,2014-07-09
1249,244,50.7,14.2,24.7722936619718,9.77879151785714,6.5279002112676,12.0557142857143,3.66541239975832,2.22834789165738,122.840765044802,6.7747619047619,0.192857142857143,1.56,0.552380952380952,9.07714285714286,2.35,28.0458395833333,286.887958333333,412.137916666667,61.0043516666667,3.65704579166667,9.23e-05,2014-07-23
1009.2,164.7,21,8.6,21.6028447368421,10.5288797413793,7.14747210526316,11.765,4.12543514983788,3.62545892998835,66.472863734462,5.46647058823529,0.486470588235294,1.15941176470588,0.610588235294118,7.72529411764706,2.6,21.4158420833333,318.43075,334.21375,63.02354125,5.60188025,0.0002801,2014-08-13
1045.5,173,30.35,10.4,22.9330924050633,9.00750769230769,4.76162607594937,11.6675,4.52129091392286,2.22668278596911,98.3679351990572,9.75784394899679,2.60280018264452,6.38121031812844,1.94933892266854,20.6908859153849,3.8,25.284175,185.688666666667,400.482916666667,74.03612625,2.43582607083333,0.0002174,2014-09-04
1680.46666666667,277.621428571429,25.0404761904762,16.6464285714286,13.4562038135593,8.85542424242424,8.29790144067797,11.609,8.14826198283297,7.6771774561344,5.05421454541671,3.69806463081426,1.97213974740708,7.37971891351433,0.397705690298507,13.4470217151219,1.92887323943662,12.1179205416667,180.820041666667,274.406666666667,65.8316095833333,6.054125625,0,2014-10-23
776.333333333333,278,56.1,22.5,17.4269389558233,8.81123409090909,9.27464409638554,11.5742857142857,4.64241981467691,4.12099031443823,53.7534379666723,1.82791666666667,0.0075,2.53166666666667,0.145416666666667,4.51291666666667,3.49754789272031,15.55584,292.7615,340.66375,73.6798025,2.757408375,0,2015-05-14
830.5,394,48.95,20.8,23.7837052631579,11.8622583941606,8.4971301754386,11.6706666666667,2.38646567275923,4.07173246705935,78.7404097119307,1.65173611111111,0.0418055555555556,1.75055555555556,0.155763888888889,3.59979166666667,3.9,24.3370920833333,295.856041666667,377.344166666667,70.8535829166667,1.62897918333333,0.000884,2015-05-28
776.666666666667,453,54.8333333333333,10.6,23.2431316326531,10.3295744394619,7.16023989795918,11.54,3.77647894662655,3.7712800318624,85.3961256605728,1.47555555555556,0.0761111111111111,0.969444444444444,0.166111111111111,2.68666666666667,3.3,25.6416733333333,317.297416666667,377.962916666667,71.957785,3.18018704166667,0.0008376,2015-06-11
670.333333333333,361,44.7,27.7,27.3360372340426,12.8187625482625,7.49972095744681,11.564,2.94563075525012,2.89666993982354,113.804544041399,1.71529411764706,0.0858823529411765,1.92411764705882,0.330588235294118,4.05588235294118,2.6,26.307085,317.634625,386.890416666667,65.7964391666667,2.91256820833333,1.6e-06,2015-06-25
1374.66666666667,344,47.6,9.9,24.5435821917808,11.6561800373134,6.98255534246575,11.6357142857143,4.2936920147753,2.88277110716557,90.2535661012956,2.88533936651584,0.206402714932127,1.76052036199095,0.584140271493213,5.43640271493213,2.9,26.6879225,321.410083333333,393.384166666667,68.9285608333333,5.32845220833333,0,2015-07-09
642,225.65,26.0333333333333,13.15,26.8639899328859,13.3390589565217,7.36290530201342,11.6525,3.32206050058492,2.60124746554115,108.315007550786,4.05538461538462,0.326923076923077,1.59692307692308,0.837692307692308,6.81692307692308,2.7,24.464585,244.036708333333,393.554583333333,73.9660004166667,2.07829788333333,1.28e-05,2015-07-23
1032.63333333333,213.4,37.2666666666667,8.6,26.9617452991453,11.627806557377,5.98462012820513,11.5976923076923,4.01836700449856,4.68155271279134,115.679735974526,3.63242424242424,0.563333333333333,2.7369696969697,0.680909090909091,7.61424242424242,2.6,26.4916733333333,266.867041666667,394.0575,73.06716,3.46177683333333,0.0008648,2015-07-30
1404.4,225.566666666667,28,12.3333333333333,24.9666666666667,11.5666666666667,5.185,11.5566666666667,5.59109334817578,3.23567527007043,71.2289211819669,3.82333333333333,0.927777777777778,1.81555555555556,1.49888888888889,8.06703703703704,2.5,23.5608391666667,313.5545,350.789583333333,61.8325375,1.68176383333333,0,2015-08-13
1155.55,247.266666666667,19.55,15.7666666666667,24.3301708994709,10.8210609375,4.2083780952381,11.51,5.56766687164693,5.30217232510057,88.8580580369992,9.75784394899679,2.60280018264452,6.38121031812844,1.94933892266854,20.6908859153849,2.65492957746479,25.71542625,210.618125,403.8225,72.3945225,3.12245858333333,0.0183952,2015-09-04
971,197.666666666667,20.55,11.2,22.1164951807229,10.7993642512077,6.4364371686747,11.5481818181818,5.71014710966155,3.80393753102988,56.4241402432262,9.75784394899679,2.60280018264452,6.38121031812844,1.94933892266854,20.6908859153849,2.75352112676056,22.4487525,246.284833333333,335.935833333333,56.8229270833333,1.5509305375,0,2015-09-18
755.5,226.333333333333,19.6,14.3,18.6818623188406,10.1286293269231,6.94481256038647,11.94,6.69145487259538,5.38434354971761,27.4121719307645,3.69806463081426,1.97213974740708,7.37971891351433,0.397705690298507,13.4470217151219,2.85211267605634,10.6670919166667,59.413125,370.1775,97.8793825,8.207294,0.0303248,2015-10-02
1415,155,16.45,7.9,14.5842556745182,10.2192198347107,8.22006119914347,11.6728571428571,8.2187198007701,4.71224495802597,11.1442225479794,3.69806463081426,1.97213974740708,7.37971891351433,0.397705690298507,13.4470217151219,3,17.8366666666667,176.994416666667,330.69875,74.1878891666667,3.29399670833333,0,2015-10-23
231.77,182.55,13.4783333333333,12.2,14.1965557174409,9.33677472812573,10.4382653522786,12.0085714285714,3.62520513243991,7.86495359067481,18.3003458864663,3.54085262651474,0.112397486762107,3.60617309843204,0.136613381582426,7.39676947568763,NA,7.2212590875,275.663125,267.954166666667,66.1886016666667,6.4550065,0.002746,2016-04-06
143.1,151.75,14.3333333333333,11.7,15.15,9.58888888888889,10.1866666666667,11.8885714285714,2.84684968922933,8.36364268176765,21.9026591951568,1.72833333333333,0.0291666666666667,2.1375,0.015,3.91166666666667,NA,14.6091807083333,291.150958333333,295.661666666667,66.4374604166667,4.54890175,0,2016-04-20
177.4,165.333333333333,14.35,9.96666666666667,16.2071428571429,8.41818181818182,9.64214285714286,11.8842857142857,6.74276915655126,8.20863420965553,49.239670181532,3.26434782608696,0.0121739130434783,3.30217391304348,0.0878260869565217,6.66565217391304,3.08,14.2204254583333,239.872041666667,331.910416666667,71.9501504166667,2.4063358875,0.000572,2016-05-04
332.324137931034,161.066666666667,27.6741379310345,11.0885057471264,18.4620747409546,9.2305754522884,9.576514605062,11.8442857142857,5.54697928754021,7.06000747723988,58.7208126276812,2.63371914042979,0.023296351824088,2.35348025987006,0.167370314842579,5.17766016991504,3.69793103448276,16.3829266666667,182.3515,365.516666666667,86.0018554166667,3.63039716666667,0.0185212,2016-05-20
458.2,157.6,38.5,12,20.2942068965517,9.89064528,9.5231916502463,11.736,4.57540001896874,6.12674825715217,66.4242408651775,2.12133333333333,0.0323333333333333,1.58266666666667,0.232,3.96866666666667,4.2,24.3879208333333,251.854958333333,395.501666666667,80.1014695833333,1.5245759375,0.0054236,2016-06-02
478.766666666667,148,28.6,11.85,23.9641022222222,12.8323174157303,7.11377916666667,11.6789473684211,4.30862826777906,4.72624150508889,76.3249375237412,2.08578947368421,0.0563157894736842,3.18736842105263,1.25578947368421,6.58368421052632,3.9,25.709585,200.829375,415.830833333333,86.0284008333333,3.31958991666667,0.0460900000416667,2016-06-23
531.5,190.75,33.9,9.45,23.7488771771772,11.5072041501976,6.94004363363363,11.6771428571429,5.27037750366364,2.94769822359343,89.1281307745876,3.45060606060606,0.194545454545455,2.76757575757576,0.659393939393939,7.07090909090909,3.08,25.0312516666667,244.989416666667,393.4025,78.7643354166667,4.06957125,0.001796,2016-07-07
555.733333333333,209.5,28.9333333333333,15.2,25.569918901454,12.0776550943396,6.46609880452342,11.61,4.71611803302788,3.32646167002318,110.570888151526,5.2978125,0.0703125,3.81328125,1.50734375,10.68984375,2.7,25.5266658333333,323.508125,373.614583333333,72.8577483333333,2.00014782916667,0,2016-07-21
647.72380952381,205.383333333333,27.0761904761905,13.3119047619048,26.12,12.7428571428571,5.624,11.615,4.90213138312605,5.62297226952311,83.8731520884825,5.5545945945946,1.08702702702703,5.4127027027027,2.20540540540541,14.2594594594595,2.2047619047619,21.70334,112.539041666667,412.42875,95.3421695833333,2.477680875,0.0233752,2016-08-03
704.333333333333,202.85,25.9333333333333,12.15,25.7747067961165,11.8854786259542,3.69470420711974,11.655,4.55053243438991,3.01828049264269,99.3120640639922,4.90323943661972,0.161267605633803,4.83028169014085,1.9430985915493,11.8371830985915,1.9,27.0862554166667,300.168333333333,405.06375,79.59383,3.28589916666667,0,2016-08-11
974.05,220.666666666667,29.2,16,23.8609036363636,11.2810551111111,3.99726,11.5838461538462,6.07560838214715,5.20540968830282,88.5751716174747,6.71553191489362,0.318829787234043,5.03468085106383,2.44510638297872,14.5145744680851,2.87,23.2258404166667,277.485958333333,380.45875,69.599845,1.852389375,0,2016-08-23
817.55,270.466666666667,23,20.6666666666667,23.253040376569,11.5169815442561,4.65793527196653,11.7233333333333,6.11507718114517,0.25,77.8582229794965,12.2078333333333,0.1945,2.77516666666667,1.63333333333333,16.8103333333333,2.13,24.6208358333333,261.327875,365.72625,69.8837654166667,3.459001625,0,2016-09-06
629.833333333333,263,21.3333333333333,18.25,22.4309490974729,12.0301,5.51139563176895,11.9916666666667,5.23094326632457,4.57056196633248,59.536311003659,9.82780821917808,0.164657534246575,1.94958904109589,3.93890410958904,15.881095890411,2.21,21.3358358333333,211.744875,365.53,79.16978375,2.30918045,0,2016-09-27
1510.6,243.35,25.4,15.475,14.8444444444444,10.6,7.94444444444444,12.1885714285714,8.75358287962291,8.04428748646756,5.05515380719605,3.17574712643678,1.81724137931034,1.21563218390805,1.47,7.67816091954023,2.38,11.2033364583333,178.023166666667,276.767916666667,57.1029304166667,1.79888378333333,0,2016-10-25
