"DateTime","therm_depth","oxy_depth","Temp_C_hypo","DO_mgL_epi","waterlevel","wl_cv","SS","TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","Shortwave","RelHum","WindSpeed","Rain","res_time"
2014-05-14,3.40106979048091,4.73470543804259,9.64978554216868,9.63023753424658,12.9,0.0466284986792529,69.2265602701342,204,202,7.9,9.6,270.104,74.9293191666667,4.48212604166667,0.0003717,28.913318642729
2014-05-29,4.10275005784395,4.4857454785233,8.8797329153605,9.02760186440678,12.7666666666667,0.0466284986792529,90.0331471878278,269,195.5,16.3,6.2,209.5933375,88.92143,2.55075279166667,0.003667,19.2953429791097
2014-06-04,3.34401674654745,4.51590573219922,10.3140237547893,7.69780329545455,12.6,0.0466284986792529,102.467990482064,343.666666666667,171,13.3333333333333,4.8,267.851125,70.084655,4.497983,0.01692,4.48336753039359
2014-06-18,3.84331756042161,2.7082383299914,10.1449880769231,7.1836542519685,12.5,0.0466284986792529,132.978291482448,715.25,143.65,23,8.05,304.71275,60.0357945833333,4.73139191666667,0,28.509168475739
2014-06-25,3.47189947297301,2.68366325345437,10.9001909090909,7.50592103092784,12.2666666666667,0.0466284986792529,132.330169883364,237,231,18.4,13.6,205.115875,79.44887,3.695405625,0.000919,16.1518713641992
2014-07-02,3.28513429261083,2.42963578606113,11.0900281021898,7.67860542553191,12.1090909090909,0.0466284986792529,139.567362540795,821,266,41.1666666666667,13.7,310.579333333333,57.2014916666667,3.160603625,0.0005386,60.0402464089364
2014-07-09,3.60778873152896,2.2727886711194,9.53923778801843,6.80583343434343,11.9833333333333,0.0466284986792529,104.029471511796,1069.5,228,45.3,13,240.942833333333,65.3666808333333,3.73581670833333,0.0080288,5.36678144076504
2014-07-23,3.66541239975832,2.22834789165738,9.77879151785714,6.5279002112676,11.6857142857143,0.0466284986792529,99.6477357418735,1249,244,50.7,14.2,286.887958333333,61.0043516666667,3.65704579166667,9.23e-05,40.4821516767441
2014-08-13,4.12543514983788,3.62545892998835,10.5288797413793,7.14747210526316,11.4,0.0466284986792529,63.3349897669385,1009.2,164.7,21,8.6,318.43075,63.02354125,5.60188025,0.0002801,2.12738842386706
2014-09-04,4.52129091392286,2.22668278596911,9.00750769230769,4.76162607594937,11.3,0.0466284986792529,98.644952830832,1045.5,173,30.35,10.4,185.688666666667,74.03612625,2.43582607083333,0.0002174,9.5168055712567
2014-09-25,4.69344459964543,4.11583380177282,9.3993420233463,7.21482011363636,11.2,0.0466284986792529,42.9356046164758,1118.5,164.5,25.7,8.05,136.520333333333,86.3230404166667,3.32289116666667,8.04e-05,52.0099246209468
2015-05-14,4.64241981467691,4.12099031443823,8.81123409090909,9.27464409638554,11.2,0.0466284986792529,56.823867794181,776.333333333333,278,56.1,22.5,292.7615,73.6798025,2.757408375,0,44.0011076390325
2015-05-28,2.38646567275923,4.07173246705935,11.8622583941606,8.4971301754386,11.2866666666667,0.0466284986792529,80.7807112100598,830.5,394,48.95,20.8,295.856041666667,70.8535829166667,1.62897918333333,0.000884,33.4057479355212
2015-06-11,3.77647894662655,3.7712800318624,10.3295744394619,7.16023989795918,11.1,0.0466284986792529,85.5688814318976,776.666666666667,453,54.8333333333333,10.6,317.297416666667,71.957785,3.18018704166667,0.0008376,6.2720165603732
2015-06-25,2.94563075525012,2.89666993982354,12.8187625482625,7.49972095744681,11.14,0.0466284986792529,113.868240223897,670.333333333333,361,44.7,27.7,317.634625,65.7964391666667,2.91256820833333,1.6e-06,19.8573281080855
2015-07-09,4.2936920147753,2.88277110716557,11.6561800373134,6.98255534246575,11.2142857142857,0.0466284986792529,86.6875304691274,1374.66666666667,344,47.6,9.9,321.410083333333,68.9285608333333,5.32845220833333,0,4.33332688277858
2015-07-23,3.32206050058492,2.60124746554115,13.3390589565217,7.36290530201342,11.275,0.0466284986792529,106.350153284783,642,225.65,26.0333333333333,13.15,244.036708333333,73.9660004166667,2.07829788333333,1.28e-05,44.473661796926
2015-07-30,4.01836700449856,4.68155271279134,11.627806557377,5.98462012820513,11.2,0.0466284986792529,112.236514246549,1032.63333333333,213.4,37.2666666666667,8.6,266.867041666667,73.06716,3.46177683333333,0.0008648,24.9187620010328
2015-08-13,5.59109334817578,3.23567527007043,11.5666666666667,5.185,11.1777777777778,0.0466284986792529,64.2891536209815,1404.4,225.566666666667,28,12.3333333333333,313.5545,61.8325375,1.68176383333333,0,3.90405876276111
2015-09-04,5.56766687164693,5.30217232510057,10.8210609375,4.2083780952381,11.1,0.0466284986792529,82.7437369013854,1155.55,247.266666666667,19.55,15.7666666666667,210.618125,72.3945225,3.12245858333333,0.0183952,3.05365863471041
2015-09-18,5.71014710966155,3.80393753102988,10.7993642512077,6.4364371686747,11.1636363636364,0.0466284986792529,51.5071534274073,971,197.666666666667,20.55,11.2,246.284833333333,56.8229270833333,1.5509305375,0,104.279486579703
2015-10-02,6.69145487259538,5.38434354971761,10.1286293269231,6.94481256038647,11.5,0.0466284986792529,22.8858492684387,755.5,226.333333333333,19.6,14.3,59.413125,97.8793825,8.207294,0.0303248,0.883993971782695
2015-10-23,8.2187198007701,4.71224495802597,10.2192198347107,8.22006119914347,11.3142857142857,0.0466284986792529,10.4145636733074,1415,155,16.45,7.9,176.994416666667,74.1878891666667,3.29399670833333,0,334.353361633955
2016-04-06,5.17370510430028,5.25342183385362,7.65,9.604,11.6,0.0466284986792529,8.47188846875003,146,162.5,12.1666666666667,13.3,275.663125,66.1886016666667,6.4550065,0.002746,8.29979505554821
