"NMDS1","NMDS3","pvals","env"
-0.2263,-0.3759,0.001,"Bluegreen_ugL"
-0.0774,-0.4544,0.001,"Brown_ugL"
0.2737,0.4899,0.001,"Secchi depth"
-0.1364,-0.3596,0.002,"hypo temp"
-0.0012,0.4016,0.002,"epi DO"
-0.1803,-0.3329,0.002,"Green_ugL"
-0.206,-0.3104,0.003,"hypo TN"
-0.1683,-0.3298,0.005,"hypo TP"
0.0884,0.2698,0.04,"oxycline depth"
-0.1371,0.185,0.112,"Schmidt stability"
0.0047,0.2221,0.131,"water level"
-0.2058,0.0515,0.169,"epi temp"
-0.0673,-0.1876,0.183,"epi TN"
-2e-04,-0.1841,0.224,"Mixed_ugL"
0.0351,0.1781,0.254,"epi TP"
0.0844,-0.1172,0.412,"thermocline depth"
-0.1182,0.0791,0.434,"longwave"
-0.095,0.0244,0.663,"wind speed"
7e-04,-0.0989,0.675,"rain"
-0.0642,0.0414,0.79,"air temp"
0.0455,0.0231,0.901,"relative humidity"
