"Group","n","mean","sd","df","χ2","p.value"
"2014",5,0.43,0.19," "," "," "
"2015",5,0.34,0.17," "," "," "
"2016",5,0.39,0.11,"5","3.63225806451612","0.60347648762723"
"2019",5,0.46,0.12," "," "," "
"2020",5,0.41,0.1," "," "," "
"2021",5,0.46,0.2," "," "," "
"May",6,0.58,0.03," "," "," "
"June",6,0.39,0.12," "," "," "
"July",6,0.35,0.06,"4","14.5849462365591","0.00564421095891255"
"August",6,0.36,0.12," "," "," "
"September",6,0.4,0.05," "," "," "
