"month","year","Green_ugL","Bluegreen_ugL","Brown_ugL","Mixed_ugL","Total_ugL"
5,2014,1.359375,0.01375,6.930625,0.983125,9.289375
5,2015,1.675,0,2.2725,0.205,4.1525
5,2016,2.11685714285714,0.00657142857142857,3.18457142857143,0.0534285714285714,5.36228571428571
5,2019,1.12452054794521,0.138082191780822,0.454383561643836,0.181780821917808,1.89849315068493
5,2021,4.90592592592593,0.382962962962963,2.25259259259259,0.17462962962963,7.715
6,2014,2.47190476190476,0.0695238095238095,1.08238095238095,0.185714285714286,3.81
6,2015,1.94,0.148666666666667,1.83685714285714,0.353333333333333,4.27904761904762
6,2016,1.86387387387387,0.0362162162162162,2.40279279279279,0.580630630630631,4.88369369369369
6,2019,1.04647058823529,0.137941176470588,0.663529411764706,0.247058823529412,2.095
6,2020,6.47717391304348,0.14,0.401086956521739,0.219565217391304,7.23913043478261
6,2021,3.29863636363636,0.91,1.35590909090909,0.240909090909091,5.80636363636364
7,2014,6.72090909090909,0.195681818181818,1.40113636363636,0.337045454545455,8.65522727272727
7,2015,3.30190476190476,0.494761904761905,2.21047619047619,0.532857142857143,6.53714285714286
7,2016,3.06674418604651,0.254418604651163,1.67604651162791,0.68953488372093,5.68627906976744
7,2019,1.48285714285714,0.36734693877551,0.717040816326531,0.161224489795918,2.72826530612245
7,2020,3.60340425531915,0.606170212765957,0.711063829787234,0.444255319148936,5.36553191489362
7,2021,5.49736842105263,2.57263157894737,4.92210526315789,0.0794736842105263,13.0705263157895
8,2014,4.55166666666667,0.638333333333333,1.17666666666667,0.401666666666667,6.77166666666667
8,2015,3.27222222222222,0.22,2.89666666666667,1.57666666666667,7.97
8,2016,5.51049382716049,0.660987654320988,4.43543209876543,1.89567901234568,12.5025925925926
8,2019,8.22194444444444,0.269166666666667,1.39222222222222,0.231388888888889,10.1141666666667
8,2020,5.79235849056604,1.57584905660377,2.63801886792453,0.054622641509434,10.0608490566038
8,2021,8.83571428571429,5.78959183673469,5.7830612244898,0,20.409387755102
9,2014,2.96333333333333,0.4675,1.25916666666667,0.388333333333333,5.07916666666667
9,2016,15.0584745762712,0.0271186440677966,2.73813559322034,2.40661016949153,20.228813559322
9,2019,7.2925,0.269375,1.61625,1.355625,10.534375
9,2020,5.50045454545455,3.67272727272727,8.54863636363636,0.0309090909090909,17.7527272727273
9,2021,16.6632075471698,5.45509433962264,5.35764150943396,0.253396226415094,27.7284905660377
