"Date","WaterLevel_m"
2014-04-01,13.5
2014-04-02,13.499
2014-04-03,13.498
2014-04-04,13.497
2014-04-05,13.496
2014-04-06,13.495
2014-04-07,13.494
2014-04-08,13.493
2014-04-09,13.492
2014-04-10,13.491
2014-04-11,13.49
2014-04-12,13.4872727272727
2014-04-13,13.4845454545455
2014-04-14,13.4818181818182
2014-04-15,13.4790909090909
2014-04-16,13.4763636363636
2014-04-17,13.4736363636364
2014-04-18,13.4709090909091
2014-04-19,13.4681818181818
2014-04-20,13.4654545454545
2014-04-21,13.4627272727273
2014-04-22,13.46
2014-04-23,13.465
2014-04-24,13.47
2014-04-25,13.475
2014-04-26,13.48
2014-04-27,13.485
2014-04-28,13.49
2014-04-29,13.475
2014-04-30,13.46
2014-05-01,13.46
2014-05-02,13.445
2014-05-03,13.43
2014-05-04,13.415
2014-05-05,13.4
2014-05-06,13.37
2014-05-07,13.36
2014-05-08,13.35
2014-05-09,13.3425
2014-05-10,13.335
2014-05-11,13.3275
2014-05-12,13.32
2014-05-13,13.315
2014-05-14,13.31
2014-05-15,13.325
2014-05-16,13.34
2014-05-17,13.3333333333333
2014-05-18,13.3266666666667
2014-05-19,13.32
2014-05-20,13.3166666666667
2014-05-21,13.3133333333333
2014-05-22,13.31
2014-05-23,13.3
2014-05-24,13.29
2014-05-25,13.28
2014-05-26,13.27
2014-05-27,13.26
2014-05-28,13.2066666666667
2014-05-29,13.1533333333333
2014-05-30,13.1
2014-05-31,13.0766666666667
2014-06-01,13.0533333333333
2014-06-02,13.03
2014-06-03,13.01
2014-06-04,12.99
2014-06-05,12.97
2014-06-06,12.9475
2014-06-07,12.925
2014-06-08,12.9025
2014-06-09,12.88
2014-06-10,12.895
2014-06-11,12.91
2014-06-12,12.94
2014-06-13,12.97
2014-06-14,12.946
2014-06-15,12.922
2014-06-16,12.898
2014-06-17,12.874
2014-06-18,12.85
2014-06-19,12.825
2014-06-20,12.8
2014-06-21,12.775
2014-06-22,12.75
2014-06-23,12.725
2014-06-24,12.7
2014-06-25,12.67
2014-06-26,12.64
2014-06-27,12.61
2014-06-28,12.59
2014-06-29,12.57
2014-06-30,12.55
2014-07-01,12.53
2014-07-02,12.51
2014-07-03,12.49
2014-07-04,12.47
2014-07-05,12.45
2014-07-06,12.43
2014-07-07,12.41
2014-07-08,12.39
2014-07-09,12.38
2014-07-10,12.37
2014-07-11,12.36
2014-07-12,12.35
2014-07-13,12.34
2014-07-14,12.33
2014-07-15,12.28
2014-07-16,12.23
2014-07-17,12.18
2014-07-18,12.156
2014-07-19,12.132
2014-07-20,12.108
2014-07-21,12.084
2014-07-22,12.06
2014-07-23,12.0557142857143
2014-07-24,12.0514285714286
2014-07-25,12.0471428571429
2014-07-26,12.0428571428571
2014-07-27,12.0385714285714
2014-07-28,12.0342857142857
2014-07-29,12.03
2014-07-30,11.995
2014-07-31,11.96
2014-08-01,11.925
2014-08-02,11.89
2014-08-03,11.855
2014-08-04,11.82
2014-08-05,11.785
2014-08-06,11.75
2014-08-07,11.756
2014-08-08,11.762
2014-08-09,11.768
2014-08-10,11.774
2014-08-11,11.78
2014-08-12,11.7725
2014-08-13,11.765
2014-08-14,11.7575
2014-08-15,11.75
2014-08-16,11.745
2014-08-17,11.74
2014-08-18,11.735
2014-08-19,11.73
2014-08-20,11.725
2014-08-21,11.72
2014-08-22,11.72
2014-08-23,11.72
2014-08-24,11.72
2014-08-25,11.72
2014-08-26,11.72
2014-08-27,11.72
2014-08-28,11.72
2014-08-29,11.7125
2014-08-30,11.705
2014-08-31,11.6975
2014-09-01,11.69
2014-09-02,11.6825
2014-09-03,11.675
2014-09-04,11.6675
2014-09-05,11.66
2014-09-06,11.657
2014-09-07,11.654
2014-09-08,11.651
2014-09-09,11.648
2014-09-10,11.645
2014-09-11,11.642
2014-09-12,11.639
2014-09-13,11.636
2014-09-14,11.633
2014-09-15,11.63
2014-09-16,11.63
2014-09-17,11.63
2014-09-18,11.63
2014-09-19,11.63
2014-09-20,11.63
2014-09-21,11.63
2014-09-22,11.63
2014-09-23,11.63
2014-09-24,11.63
2014-09-25,11.63
2014-09-26,11.62
2014-09-27,11.61
2014-09-28,11.6
2014-09-29,11.59
2014-09-30,11.58
2014-10-01,11.57
2014-10-02,11.57
2014-10-03,11.57
2014-10-04,11.57
2014-10-05,11.57
2014-10-06,11.57
2014-10-07,11.57
2014-10-08,11.57
2014-10-09,11.57
2014-10-10,11.5785714285714
2014-10-11,11.5871428571429
2014-10-12,11.5957142857143
2014-10-13,11.6042857142857
2014-10-14,11.6128571428571
2014-10-15,11.6214285714286
2014-10-16,11.63
2014-10-17,11.627
2014-10-18,11.624
2014-10-19,11.621
2014-10-20,11.618
2014-10-21,11.615
2014-10-22,11.612
2014-10-23,11.609
2014-10-24,11.606
2014-10-25,11.603
2014-10-26,11.6
2014-10-27,11.597
2014-10-28,11.594
2014-10-29,11.591
2014-10-30,11.588
2014-10-31,11.585
2014-11-01,11.582
2014-11-02,11.579
2014-11-03,11.576
2014-11-04,11.573
2014-11-05,11.57
2014-11-06,11.5614285714286
2014-11-07,11.5528571428571
2014-11-08,11.5442857142857
2014-11-09,11.5357142857143
2014-11-10,11.5271428571429
2014-11-11,11.5185714285714
2014-11-12,11.51
2014-11-13,11.51
2014-11-14,11.51
2014-11-15,11.51
2014-11-16,11.51
2014-11-17,11.51
2014-11-18,11.51
2014-11-19,11.51
2014-11-20,11.51
2014-11-21,11.51
2014-11-22,11.5142857142857
2014-11-23,11.5185714285714
2014-11-24,11.5228571428571
2014-11-25,11.5271428571429
2014-11-26,11.5314285714286
2014-11-27,11.5357142857143
2014-11-28,11.54
2014-11-29,11.5442857142857
2014-11-30,11.5485714285714
2014-12-01,11.5528571428571
2014-12-02,11.5571428571429
2014-12-03,11.5614285714286
2014-12-04,11.5657142857143
2014-12-05,11.57
