"Daphnia","Cyclopoida","Nauplii","Bosmina","Conochilus","Keratella","Kellicottia","Polyarthra","Trichocerca","Chydorus","Ascomorpha","Asplanchna","Lecane","Ceriodaphnia","Diaphanosoma","Calanoida","Collotheca","Conochiloides","Gastropus","Hexarthra","Lepadella","Monostyla","Synchaeta"
0,0.183083459309206,0.404812759899291,0.105703284516338,0.183083459309206,0.619364725297035,0,0.393144227495029,0.105703284516338,0.456690385280278,0,0,0,0,0,0,0,0,0,0,0,0,0
0.174963553055941,0.233804882395706,0.603681610520369,0.315997195249021,0.0809923870734058,0.375060733663043,0,0.256120416285941,0,0.419113321998222,0,0,0,0,0,0.248904304441846,0,0,0,0,0,0,0
0.190421573646257,0.190421573646257,0.617920807988686,0.301445476451455,0.426308281113668,0.252553581423296,0,0.135457092295719,0,0.233685685404836,0.213154140556834,0,0,0,0,0.301445476451455,0,0,0,0,0,0,0
0.133862984793968,0.169172431529289,0.279274184042087,0.0709063953452982,0.908896342581102,0.107114461205791,0,0.0886784353505561,0.0278117764234,0.0532554973252436,0.0842043347363874,0,0,0,0,0.119622973524177,0,0,0,0,0,0,0
0.0865253200863353,0.172017492788704,0.424725978558817,0,0.38510595342765,0.253320198552449,0.0706476280141698,0.148672078109069,0.0499554168435642,0.211100165460374,0.704201802222289,0,0,0,0,0,0,0,0,0,0,0,0
0.141167685438936,0.216521870558398,0.487256970025786,0,0.205305961029895,0.518060900642186,0.112959535369195,0.0633587951081989,0,0.0293294230042706,0.598325021657308,0.0887992379443552,0,0,0.0293294230042706,0.0293294230042706,0,0,0,0,0,0,0
0.243919182324229,0.158655679740622,0.36847553263966,0,0.464613550528672,0.592348877759093,0.0676510091491738,0.091599899406711,0,0.0676510091491738,0.431413337278761,0,0.0676510091491738,0,0.0676510091491738,0,0,0,0,0,0,0,0
0.301915244751577,0.292328178722249,0.493591640705957,0.0448410956666963,0.39262640764288,0.43320614067868,0.319705796392009,0.121430261100732,0.0448410956666963,0,0.310668223847099,0.142976778706648,0,0,0,0,0,0,0,0,0,0,0
0.269895948179707,0.211829636434081,0.447734520074341,0.140760505162208,0.118262479197817,0.676787971259801,0.334496804002836,0.140760505162208,0,0,0.234048189009347,0.0418121005003545,0,0.0418121005003545,0,0,0,0,0,0,0,0,0
0.128458748884677,0.235118115109843,0.481506162804259,0,0.154684817416817,0.483216669657601,0.61203550448146,0.0759972207238907,0,0,0.211079263419088,0.0406222231851194,0.0406222231851194,0.0952675579132742,0.0406222231851194,0,0,0,0,0,0,0,0
0.126116160014449,0.22886636590325,0.41856579078446,0.0362694743110815,0.051292782470874,0.427890371258612,0.749232246756003,0.0450888728821781,0.0267867820199257,0,0.0682931621129788,0.0267867820199257,0,0,0,0,0,0,0,0,0,0,0
0.254140259663046,0.254140259663046,0.334434224904763,0.0731848183939281,0,0.434420138762953,0.738490771802741,0.0434782608695652,0.0731848183939281,0,0.101965559996162,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0
0.181574801975856,0.314496782396442,0.629165397486922,0,0,0.253821723887111,0.611036039540322,0.0947206578666966,0.0389017982632941,0,0.149946843173685,0,0,0,0,0.0389017982632941,0,0,0,0,0,0,0
0.130710444323509,0.349380443231735,0.485376944341182,0.113425643918074,0.190878879945862,0.431614011114521,0.16670097080754,0.364377122670635,0.296299393500425,0,0.355368171998876,0,0.0464906795530308,0,0.0464906795530308,0.103460105417147,0,0,0,0,0,0,0
0,0.15775403780609,0,0.0437530978631802,0.145112609027869,0.291048553661855,0.931360510272857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0557649442690404,0.287454243746531,0.32379359523395,0,0.264096155233734,0.373488364502136,0.619898101427018,0.417838571129769,0,0.0557649442690404,0.18733796493313,0,0,0.0557649442690404,0,0,0,0,0,0,0,0,0
0.164606039008704,0.169013098401313,0.426244671589935,0,0.128814411845153,0.792079038953027,0.287307646399986,0.128814411845153,0,0,0.128814411845153,0,0,0.0383442218994868,0,0.0383442218994868,0,0,0,0,0,0,0
0.139962681593366,0.305423610890763,0.382694687552097,0,0.271466443323565,0.663549928387221,0.382694687552097,0,0,0,0.271466443323565,0,0,0.0808074918944317,0,0,0,0,0,0,0,0,0
0.268406048076921,0.41617178524486,0.685257762321013,0,0,0.342356412822255,0.296803928301446,0,0,0,0,0,0.242082541089318,0.0511166828627468,0,0.136615081443412,0,0,0,0,0,0,0
0,0.2955094887953,0.730854860917548,0,0,0.566057716818668,0.230969532420529,0,0,0.0487701272738254,0,0,0,0,0,0.0487701272738254,0,0,0,0,0,0,0
0.0869800139783107,0.240462492321476,0.437069161002689,0,0,0.824345842853653,0.146101274036405,0.146101274036405,0,0,0.146101274036405,0,0,0,0,0,0,0,0,0,0,0,0
0.0796277571588257,0.254488688852026,0.533735129446992,0,0.266655343962517,0.7058246282166,0.189153338609833,0.189153338609833,0,0,0,0,0,0,0.0563053270576813,0,0,0,0,0,0,0,0
0.165299122186749,0.252667080816426,0.601114049163838,0,0.142033962762928,0.490720843110547,0.316792530942379,0.142033962762928,0,0.0422792893080316,0.400778099177573,0,0,0,0,0.0597919443469141,0,0,0,0,0,0,0
0.0887107076801371,0.280026498384776,0.712846860433978,0.0627279429644825,0.257544944696076,0.364223553709819,0.210061689592638,0.297072090356916,0.149008339041783,0,0.210061689592638,0,0,0,0,0.0627279429644825,0,0,0,0,0,0,0
