"year","dap_cer","cyc_nau","ker_kel","dap_rot","clad_rot","p_dap","p_cer","p_cyc","p_nau","p_ker","p_kel","p_rot"
2014,114.5,0.31554524361949,0.782050138281738,0.0431970680966881,0.0550540300196718,0.0257956506281608,0.000601693762572572,0.0423190970000343,0.144296146161905,0.135276175516741,0.11709645427261,0.500265792371793
2015,18.8214285714286,0.246675147449983,1.69581501384139,0.0266349944405135,0.0305771757808551,0.0122138060037302,0.000900170271235638,0.0531160863013305,0.201772967867927,0.210562585623376,0.108927971382262,0.398247618115082
2016,0.194074074074074,0.398720861735252,2.22278162366268,0.0116114164155292,0.0716480529456952,0.00582300269684157,0.0411592854967568,0.0766440664285969,0.200847711684362,0.183529576100965,0.0708124293290784,0.374129898176635
2019,2.31162013839179,0.131667923311472,0.0984801012905912,0.0168630023210997,0.0300747909893408,0.0196283987946939,0.019106294365376,0.0323872860622631,0.170937222894981,0.0814081723463678,0.215604675488258,0.416041732674503
2020,2.27159213881667,0.288123291824736,3.40808355800952,0.131492872399653,0.212466056361611,0.0512896958727285,0.0320078518058227,0.0608727821079875,0.260994827092025,0.112714653694881,0.0159867718703743,0.367535934060315
2021,2.38617886178862,0.452017642385558,19.0587808417997,0.0671893778973272,0.164253419561609,0.0183649569834888,0.00995487911785571,0.125658538191259,0.267145997767516,0.164051156327886,0.0111804451720875,0.345718729922389
