"year","delta_wl","epi_cyano","epi_green","epi_brown","epi_mixed","epi_tn","epi_tp","hypo_tn","hypo_tp","epi_temp","hypo_temp","DO_epi","secchi","thermocline_depth","oxycline_depth","schmidt_stability","buoyancy_frequency"
2014,1.68661290322581,0.276957792207792,3.61343777056277,2.36999512987013,0.459176948051948,195.45,9.46333333333333,1104.032,29.454,23.4808062171533,7.00064318972521,7.80581424567034,3.32466666666667,3.91171560799828,3.41595244897354,88.658321135083,0.0118996464152903
2015,0.0996774193548386,0.215857142857143,2.54728174603175,2.304125,0.666964285714286,292.826303030303,14.2529090909091,1409.39751515152,43.233696969697,25.1424824085613,7.91202787760029,7.37482299514056,3.055,4.4253879986296,3.82618590115098,80.6853958626148,0.00964628458948257
2016,0.231950844854074,0.197062509565518,5.52328872124184,2.88739568499558,1.12517665352347,237.011333333333,13.8891666666667,971.429333333333,29.8506666666667,24.7009311766572,8.20154527566856,6.96673620298183,2.79811904761905,5.10236262757519,4.15619858961095,78.2716416797321,0.00886354389689059
2019,0.421689708141322,0.236382394738717,3.83365854469642,0.968685202391459,0.435415604826405,188.706666666667,7.959,1999,38.7916666666667,25.1287991648723,8.59262995467477,7.22767011027373,3.28583333333333,5.17976980106896,5.54891948893981,78.3625070622364,0.00951836459621692
2020,1.0690782315467,1.49868663552425,5.3433478010958,3.07470150446747,0.187338067239691,260.02,16.647,1529.74666666667,33.1173333333333,23.0888852235865,9.29988212374204,6.17969261522259,2.684,5.85056210672046,3.77252497446046,68.5553312898398,0.00695212073870573
2021,0.412582961844986,3.02205614365353,7.8401705086998,3.93426193611667,0.149681726232868,270.866666666667,14.9866666666667,1136.1,27.4833333333333,23.9587709265289,9.07699602173278,8.27942134196996,2.265,4.37455755930968,4.00408712419825,63.7829524598084,0.00978917711313448
