"Taxon","prop_avg"
"Bosmina",0.01484391007018
"Conochilus",0.0906689468436959
"Cyclopoida",0.0818972446704835
"Daphnia",0.0240301078625617
"Gastropus",0.0106267699603698
"Kellicottia",0.30270885775138
"Keratella",0.136162730580354
"Nauplii",0.274654996088052
"Polyarthra",0.0170724026398152
