"time","Q_m3pd"
2014-05-14,46129.5143487587
2014-05-15,771811.448454131
2014-05-16,553074.082717892
2014-05-17,387151.857902524
2014-05-18,271006.300531767
2014-05-19,189704.410372237
2014-05-20,132793.087260566
2014-05-21,92955.1610823961
2014-05-22,65068.6127576773
2014-05-23,45548.0289303741
2014-05-24,31883.6202512619
2014-05-25,22318.5341758833
2014-05-26,15622.9739231183
2014-05-27,18971.1507917695
2014-05-28,13279.8055542387
2014-05-29,67507.4626146971
2014-05-30,47255.2238302879
2014-05-31,33078.6566812016
2014-06-01,23155.0596768411
2014-06-02,16208.5417737888
2014-06-03,11345.9792416521
2014-06-04,281843.392992827
2014-06-05,197290.375094979
2014-06-06,138103.262566485
2014-06-07,96672.2837965396
2014-06-08,100454.02400493
2014-06-09,70317.8168034507
2014-06-10,72997.0830870973
2014-06-11,308521.406160968
2014-06-12,369766.382712678
2014-06-13,258836.467898874
2014-06-14,181185.527529212
2014-06-15,126829.869270448
2014-06-16,88780.9084893139
2014-06-17,62146.6359425197
2014-06-18,43502.6451597638
2014-06-19,30451.8516118347
2014-06-20,161936.248052751
2014-06-21,113355.373636925
2014-06-22,178942.941641023
2014-06-23,125260.059148716
2014-06-24,88652.3848328591
2014-06-25,73407.1758042875
2014-06-26,51385.0230630013
2014-06-27,53807.8874134123
2014-06-28,37665.5211893886
2014-06-29,42462.2517724602
2014-06-30,29723.5762407221
2014-07-01,20806.5033685055
2014-07-02,19134.1134313761
2014-07-03,521534.740913929
2014-07-04,365074.31863975
2014-07-05,255552.023047825
2014-07-06,178886.416133478
2014-07-07,125220.491293434
2014-07-08,117406.928822928
2014-07-09,208640.55737605
2014-07-10,186416.435763235
2014-07-11,130491.505034264
2014-07-12,91344.053523985
2014-07-13,63940.8374667895
2014-07-14,116265.557032694
2014-07-15,121992.557922886
2014-07-16,85394.7905460203
2014-07-17,59776.3533822142
2014-07-18,41843.4473675499
2014-07-19,43174.1049055792
2014-07-20,30221.8734339054
2014-07-21,30599.0325163988
2014-07-22,37258.2931614791
2014-07-23,26080.8052130354
2014-07-24,235846.936945966
2014-07-25,165092.855862176
2014-07-26,127563.199524081
2014-07-27,148049.285266857
2014-07-28,103634.4996868
2014-07-29,72544.1497807597
2014-07-30,50780.9048465318
2014-07-31,41156.0128338493
2014-08-01,252466.88044362
2014-08-02,176726.816310534
2014-08-03,123708.771417374
2014-08-04,86596.1399921617
2014-08-05,78632.0146920452
2014-08-06,55042.4102844316
2014-08-07,38529.6871991021
2014-08-08,290472.796382979
2014-08-09,786851.527868085
2014-08-10,579332.69350766
2014-08-11,757792.393455362
2014-08-12,667079.619418753
2014-08-13,467447.687993127
2014-08-14,327213.381595189
2014-08-15,229049.367116632
2014-08-16,160334.556981643
2014-08-17,112234.18988715
2014-08-18,411859.312508134
2014-08-19,325147.977155694
2014-08-20,230100.402408986
2014-08-21,225515.21848629
2014-08-22,207539.875340403
2014-08-23,701399.946338282
2014-08-24,510924.545636797
2014-08-25,357647.181945758
2014-08-26,250353.027362031
2014-08-27,175247.119153422
2014-08-28,122672.983407395
2014-08-29,85871.0883851766
2014-08-30,76025.7226906633
2014-08-31,65491.8050834643
2014-09-01,45844.263558425
2014-09-02,208018.762314763
2014-09-03,145613.133620334
2014-09-04,102236.541832757
2014-09-05,116801.749789485
2014-09-06,154682.160052639
2014-09-07,109385.635236848
2014-09-08,87151.0502657933
2014-09-09,61005.7351860553
2014-09-10,42704.0146302387
2014-09-11,65417.8069425343
2014-09-12,192664.558869774
2014-09-13,189258.023208842
2014-09-14,132500.229046189
2014-09-15,92750.1603323325
2014-09-16,64925.1122326328
2014-09-17,45447.5785628429
2014-09-18,31813.30499399
2014-09-19,63770.5522232684
2014-09-20,44639.3865562879
2014-09-21,44682.210063117
2014-09-22,31277.5470441819
2014-09-23,21894.2829309273
2014-09-24,26134.7861842724
2014-09-25,18294.3503289907
2014-09-26,12806.0452302935
2014-09-27,8964.23166120545
2014-09-28,7415.82933565727
2014-09-29,9501.41042957478
2014-09-30,6650.98730070235
2014-10-01,4655.69111049164
2014-10-02,3258.98377734415
2014-10-03,132750.019638917
2014-10-04,92925.0137472417
2014-10-05,65047.5096230692
2014-10-06,166890.773749935
2014-10-07,352906.084024955
2014-10-08,247034.258817468
2014-10-09,172923.981172228
2014-10-10,275272.331419997
2014-10-11,226540.690393998
2014-10-12,356498.739075798
2014-10-13,344859.153353059
2014-10-14,668084.408947141
2014-10-15,561058.508662999
2014-10-16,392740.956064099
2014-10-17,274918.669244869
2014-10-18,192443.068471409
2014-10-19,134710.147929986
2014-10-20,94297.1035509903
2014-10-21,66007.9724856932
2014-10-22,46205.5807399852
2014-10-23,32343.9065179897
2014-10-24,22640.7345625928
2014-10-25,15848.5141938149
2014-10-26,11093.9599356705
2014-10-27,7765.77195496932
2014-10-28,5801.41163149759
2014-10-29,4060.98814204831
2014-10-30,3535.74187554779
2014-10-31,129595.499292174
2014-11-01,167608.014704522
2014-11-02,117325.610293165
2014-11-03,82127.9272052158
2014-11-04,57489.549043651
2014-11-05,57032.0349178466
2014-11-06,56338.8828424926
2014-11-07,39437.2179897448
2014-11-08,27606.0525928214
2014-11-09,19324.236814975
2014-11-10,13526.9657704825
2014-11-11,9468.87603933773
2014-11-12,6628.21322753641
2014-11-13,4639.74925927549
2014-11-14,4937.45006335336
2014-11-15,3456.21504434736
2014-11-16,24619.7605827233
2014-11-17,315044.945617906
2014-11-18,220531.461932534
2014-11-19,154372.023352774
2014-11-20,108060.416346942
2014-11-21,75642.2914428593
2014-11-22,52949.6040100015
2014-11-23,279604.253578373
2014-11-24,195722.977504861
2014-11-25,262039.999735068
2014-11-26,641743.723814547
2014-11-27,449220.606670183
2014-11-28,314454.424669128
2014-11-29,220118.09726839
2014-11-30,154082.668087873
2014-12-01,182383.006841449
2014-12-02,290188.754789014
2014-12-03,203132.12835231
2014-12-04,192405.775675967
2014-12-05,136732.763373177
