"term","F_value","P_value","Variance_pct"
"waterlevel",2.79,0.004,9.7
"TN_ugL_epi",2.58,0.005,8.9
"Brown_ugL",2.42,0.01,8.4
"SS",2.21,0.021,7.7
"Temp_C_hypo",2.2,0.02,7.6
"secchi",1.88,0.041,6.5
"therm_depth",1.82,0.039,6.3
"DO_mgL_epi",1.74,0.051,6
"Bluegreen_ugL",1.68,0.064,5.8
"RelHum",1.53,0.117,5.3
"TP_ugL_epi",1.48,0.121,5.1
"Shortwave",1.15,0.303,4
"TP_ugL_hypo",1.14,0.294,3.9
"Mixed_ugL",0.89,0.528,3.1
"TN_ugL_hypo",0.85,0.578,3
"Rain",0.77,0.665,2.7
"Green_ugL",0.71,0.768,2.5
"oxy_depth",0.66,0.829,2.3
"WindSpeed",0.36,0.994,1.3
